iter	Passed	Remaining
0	150	150032
1	150	75205
2	151	50238
3	151	37801
4	152	30328
5	153	25368
6	153	21820
7	154	19159
8	155	17094
9	155	15442
10	156	14086
11	157	12962
12	158	12006
13	158	11174
14	159	10462
15	160	9846
16	160	9303
17	161	8810
18	162	8373
19	162	7980
20	163	7628
21	164	7306
22	165	7012
23	165	6739
24	166	6496
25	167	6268
26	168	6056
27	168	5858
28	169	5673
29	170	5501
30	170	5338
31	171	5182
32	171	5036
33	172	4901
34	173	4772
35	173	4649
36	174	4534
37	174	4425
38	175	4320
39	175	4221
40	176	4127
41	177	4037
42	177	3950
43	178	3868
44	178	3793
45	179	3717
46	179	3644
47	180	3578
48	180	3512
49	181	3448
50	182	3386
51	182	3328
52	183	3271
53	183	3216
54	184	3164
55	184	3115
56	185	3066
57	185	3019
58	186	2973
59	186	2929
60	187	2887
61	188	2845
62	188	2804
63	189	2765
64	189	2727
65	190	2691
66	190	2656
67	191	2622
68	191	2589
69	192	2556
70	192	2524
71	193	2492
72	193	2462
73	194	2432
74	194	2404
75	195	2377
76	196	2350
77	196	2325
78	197	2299
79	197	2275
80	198	2252
81	199	2228
82	199	2202
83	199	2180
84	200	2158
85	201	2136
86	201	2115
87	202	2094
88	202	2074
89	203	2055
90	203	2036
91	204	2017
92	204	1999
93	205	1980
94	206	1962
95	206	1945
96	207	1928
97	207	1911
98	208	1894
99	208	1878
100	209	1862
101	209	1847
102	210	1833
103	211	1818
104	211	1803
105	212	1788
106	212	1774
107	213	1760
108	213	1746
109	214	1733
110	214	1719
111	215	1706
112	215	1693
113	216	1682
114	216	1669
115	217	1656
116	217	1643
117	218	1631
118	218	1619
119	219	1607
120	219	1596
121	220	1584
122	220	1572
123	221	1561
124	221	1550
125	222	1539
126	222	1530
127	223	1521
128	223	1512
129	224	1502
130	225	1492
131	225	1483
132	226	1474
133	226	1464
134	227	1455
135	227	1446
136	228	1438
137	228	1429
138	229	1421
139	230	1413
140	230	1404
141	230	1395
142	231	1386
143	231	1378
144	232	1370
145	232	1361
146	233	1353
147	233	1345
148	234	1337
149	234	1330
150	235	1323
151	235	1316
152	236	1309
153	236	1301
154	237	1295
155	238	1288
156	238	1281
157	239	1275
158	239	1268
159	240	1261
160	240	1253
161	241	1246
162	241	1240
163	242	1234
164	242	1228
165	243	1221
166	243	1215
167	244	1208
168	244	1202
169	244	1196
170	245	1190
171	245	1184
172	246	1178
173	246	1172
174	247	1166
175	247	1160
176	248	1155
177	248	1149
178	249	1144
179	249	1138
180	250	1132
181	250	1127
182	251	1121
183	251	1116
184	252	1111
185	252	1106
186	253	1100
187	253	1095
188	254	1091
189	254	1086
190	255	1081
191	255	1076
192	256	1072
193	256	1067
194	257	1062
195	257	1057
196	258	1052
197	258	1048
198	259	1043
199	259	1038
200	260	1034
201	260	1030
202	261	1026
203	261	1021
204	262	1017
205	262	1012
206	263	1008
207	263	1004
208	264	999
209	264	995
210	265	991
211	265	987
212	266	983
213	266	979
214	267	976
215	267	972
216	268	968
217	268	964
218	269	960
219	269	956
220	270	952
221	270	948
222	271	944
223	271	941
224	272	937
225	272	933
226	273	930
227	273	926
228	274	923
229	274	919
230	275	916
231	275	912
232	276	909
233	276	905
234	277	902
235	277	898
236	278	895
237	278	891
238	279	888
239	279	885
240	280	882
241	280	879
242	281	876
243	281	873
244	282	869
245	282	866
246	283	863
247	283	859
248	284	856
249	284	853
250	284	850
251	285	847
252	285	844
253	286	841
254	287	838
255	287	835
256	287	832
257	288	829
258	288	826
259	289	823
260	289	820
261	290	817
262	290	814
263	291	811
264	291	809
265	292	806
266	292	804
267	293	801
268	293	798
269	294	795
270	294	793
271	295	790
272	296	788
273	296	785
274	297	783
275	297	780
276	298	777
277	298	775
278	299	773
279	299	770
280	300	767
281	300	765
282	301	762
283	301	760
284	302	757
285	302	755
286	302	752
287	303	750
288	303	747
289	304	745
290	304	742
291	305	740
292	305	738
293	306	735
294	306	733
295	307	731
296	307	728
297	308	726
298	308	724
299	309	721
300	309	719
301	310	717
302	310	715
303	311	713
304	312	711
305	312	708
306	313	706
307	313	704
308	313	702
309	314	699
310	314	697
311	315	695
312	315	693
313	316	690
314	316	688
315	317	686
316	317	684
317	318	683
318	318	680
319	319	678
320	319	676
321	320	674
322	320	672
323	321	670
324	321	668
325	322	666
326	322	664
327	323	662
328	323	659
329	324	658
330	325	657
331	325	655
332	326	653
333	326	651
334	327	649
335	327	647
336	328	645
337	328	643
338	329	641
339	329	639
340	330	637
341	330	636
342	331	634
343	331	632
344	332	630
345	332	628
346	333	627
347	333	625
348	334	623
349	334	621
350	335	619
351	335	617
352	335	615
353	336	613
354	336	612
355	337	610
356	338	608
357	338	607
358	339	605
