iter	Passed	Remaining
0	1	171
1	3	149
2	4	143
3	5	132
4	6	131
5	8	131
6	9	128
7	10	125
8	12	125
9	13	123
10	15	121
11	16	120
12	17	118
13	19	117
14	20	116
15	21	115
16	23	113
17	24	112
18	26	111
19	27	109
20	28	108
21	30	106
22	31	105
23	32	103
24	34	102
25	35	100
26	36	99
27	38	98
28	39	96
29	40	95
30	42	94
31	43	92
32	45	91
33	46	90
34	47	88
35	49	87
36	50	86
37	51	84
38	53	83
39	54	81
40	55	80
41	56	78
42	57	76
43	58	75
44	60	73
45	61	72
46	62	70
47	64	69
48	65	68
49	66	66
50	67	65
51	69	63
52	70	62
53	71	60
54	72	59
55	73	57
56	74	56
57	76	55
58	77	53
59	78	52
60	79	50
61	81	49
62	82	48
63	83	47
64	85	45
65	86	44
66	87	43
67	88	41
68	90	40
69	91	39
70	92	37
71	94	36
72	95	35
73	97	34
74	98	32
75	99	31
76	101	30
77	102	28
78	103	27
79	104	26
80	106	24
81	107	23
82	109	22
83	110	21
84	111	19
85	113	18
86	114	17
87	115	15
88	117	14
89	118	13
90	119	11
91	121	10
92	122	9
93	124	7
94	125	6
95	126	5
96	128	3
97	129	2
98	130	1
99	131	0
